id,title,image,description,language,categories,website,author,itunes_id
1,D-Hour Radio Network,https://is3.mzstatic.com/image/thumb/Music118/v4/b9/ed/86/b9ed8603-d94b-28c5-5f95-8b7061bf22fa/source/600x600bb.jpg,"The D-Hour Radio Network is the home of real entertainment radio and ""THE"" premiere online radio network. We showcase dynamically dynamite radio shows for the sole purpose of entertaining your listening ear. Here on the D-hour Show Radio network we take pride in providing an outlet for Celebrity Artists, Underground Artists, Indie Artists, Producers, Entertainers, Entrepreneurs, Internet Stars and future business owners. We discuss topics of all forms and have a great time while doing so. We play all your favorite hits in the forms of Celebrity, Indie, Hip Hop, Soul/R&B, Pop, and everything else you want and consider popular. If you would like yourself and or your music to be showcased on our radio network submit email requests for music airplay, interviews and etc.. to:  dhourshow@gmail.com and we will get back to you promptly. Here at the D-Hour Radio Network we are Family and all of our guests, listeners and loyal fans are family too.  So tune into the D-Hour Radio Network and join the Family! ",English,Society & Culture | Personal Journals,http://www.blogtalkradio.com/dhourshow,D Hour Radio Network,538283940
2,Brian Denny Radio,https://is5.mzstatic.com/image/thumb/Music111/v4/49/c8/19/49c8190a-ca0f-f32c-c089-d7ae502d2cb8/source/600x600bb.jpg,"5-in-1: Brian Denny Radio is the fastest podcast in all the land. Each episode is 5 minutes and done in 1 take. Brian covers news, politics, sports, pro wrestling, life & more! 

No one does it faster or better, probably. #BDR",English,Professional | News & Politics | Sports & Recreation | Comedy,http://thebdshow.libsyn.com/podcast,Brian Denny,1132261215
3,Onde Road - Radio Popolare,http://is2.mzstatic.com/image/thumb/Music62/v4/a5/44/ce/a544ce1f-3250-7147-1e8a-6316a161900c/source/600x600bb.jpg,Il podcast la trasmissione Onde Road di Radio Popolare,Italian,Society & Culture,http://www.radiopopolare.it,Radio Popolare,568005832
4,Tallin Messages,http://is3.mzstatic.com/image/thumb/Music71/v4/d6/7a/a2/d67aa202-4c97-70d3-e629-b830567cff78/source/600x600bb.jpg,Podcast by Tallin Country Church,English,Religion & Spirituality,http://soundcloud.com/tallin-church,Tallin Country Church,1165994461
5,Bethel Presbyterian Church (EPC) Sermons,http://is2.mzstatic.com/image/thumb/Music71/v4/0b/a0/ee/0ba0ee27-7137-fc7e-3bd2-4e07531c6b29/source/600x600bb.jpg,"Listen to sermons from Bethel Presbyterian Church (EPC) located just outside of Washington, PA.  For more information about Bethel, please visit our website at bethelepchurch.org.",English,Religion & Spirituality | Christianity,http://www.bethelepchurch.org,Eric Toohey,1120152718
6,Mike Safo,http://is3.mzstatic.com/image/thumb/Music128/v4/81/66/72/8166728e-aa3f-c4c3-f102-f162145c0690/source/600x600bb.jpg,"Just a regular New York City guy who gets to interview some pretty amazing people... Athletes, authors, and anyone else I find fascinating can be found on my show.

""the greatest podcast ever"" - My Mom",English,Sports & Recreation | Amateur,http://www.blogtalkradio.com/mikesafo,msafoschnik,1065676109
7,#AroundThePoolTable,http://is3.mzstatic.com/image/thumb/Music118/v4/2b/bb/2a/2bbb2a53-1d27-e01f-ed82-9bd0b1d5b35d/source/600x600bb.jpg,Comedy Show airing live every Wednesday @ 7:30 PM PST send us topics through social media or our email or even call in! We're here to make your week amazing!,English,Comedy,http://www.spreaker.com/show/denny-penas-show,Around The Pool Table,1273579760
8,Why Did You Run?,http://is1.mzstatic.com/image/thumb/Music118/v4/0a/0a/b1/0a0ab184-67e0-0a49-525c-9bc384405b22/source/600x600bb.jpg,Looking at the reasons people make the decision to run for public office.  It's often more interesting than their political views.  Why would you run?,English,News & Politics,http://soundcloud.com/steve-yasko,Stephen Yasko,1321102904
9,Faith Baptist Church,http://is3.mzstatic.com/image/thumb/Music71/v4/28/c7/56/28c75631-ea77-a3f4-b75d-8e43fa8f3243/source/600x600bb.jpg,"The podcast of sermons of Greg Burdine, pastor of Faith Baptist Church in Adrian, Michigan.",English,Christianity | Religion & Spirituality,http://www.faithbaptistweb.org/?feed=seriesengine,Greg Burdine,1030057497
10,Bridge Christian Community,http://is4.mzstatic.com/image/thumb/Music128/v4/8e/be/ab/8ebeab4c-6351-1cd1-4993-c96324b8ee32/source/600x600bb.jpg,"Weekly teaching audio brought to you by Bridge Christian Community in Dubuque, Iowa ",English,Christianity | Religion & Spirituality,http://bridgeontheweb.org,"Bridge Christian Community, Dubuque, Iowa",1278698891
11,Rotations,http://is3.mzstatic.com/image/thumb/Music118/v4/1b/23/29/1b2329ed-fa8a-fcbb-5699-b3465c8c8cc3/source/600x600bb.jpg,Welcome to Rotations. Rotations is the weekly podcast of all things medical and science and is part of the Media in Medicine family of medical storytelling. Visit us at mediainmedicine.com/rotations for more information!,English,Science & Medicine,http://soundcloud.com/user-137828207,Media in Medicine,1276214403
12,Roy Green Show,http://is5.mzstatic.com/image/thumb/Music111/v4/41/ab/f1/41abf127-48c4-3fe1-032c-f147a5593cb2/source/600x600bb.jpg,WEEKENDS 2-5 EST - The Roy Green Show is syndicated across the Global News Radio Network.,English,News & Politics,http://www.900chml.com/,CHML,1133980565
13,Ever Sick! Podcast with Stefan Richard,http://is3.mzstatic.com/image/thumb/Music71/v4/7b/8f/5f/7b8f5f7e-44f6-af06-f154-c8f4bc9289f5/source/600x600bb.jpg,"Professional Wrestler Stefan (Epic) Richard fries up some slack audio content with amazing guests every Monday! Ever sick, Stefan!",English,Comedy | Technology | Podcasting | Society & Culture,https://www.spreaker.com/show/ever-sick-podcast-with-stefan-richard,The Koj-B Podcast Network,1046411772
